               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.015657,           0.0045896,                   0,             0.99991,                   1,               0.995,             0.89026,           0.0050089,           0.0016112,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.01543,           0.0044621,                   0,             0.99992,                   1,               0.995,             0.88391,            0.005162,           0.0016088,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.015093,           0.0045808,                   0,             0.99991,                   1,               0.995,              0.8978,           0.0048107,           0.0015735,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014996,           0.0044152,                   0,             0.99992,                   1,               0.995,             0.88944,           0.0049179,           0.0016024,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.014883,           0.0044288,                   0,             0.99991,                   1,               0.995,             0.89443,           0.0048079,           0.0015574,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014852,           0.0045131,                   0,             0.99991,                   1,               0.995,              0.8847,            0.004814,           0.0015686,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.014497,            0.004508,                   0,             0.99991,                   1,               0.995,             0.89911,           0.0047679,            0.001595,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.014496,           0.0043787,                   0,             0.99991,                   1,               0.995,              0.8976,           0.0047596,           0.0015501,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01416,           0.0044075,                   0,             0.99991,                   1,               0.995,             0.90792,           0.0045409,           0.0015432,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015332,           0.0042187,                   0,             0.99992,                   1,               0.995,             0.90656,           0.0046225,           0.0015299,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.013791,           0.0042424,                   0,             0.99992,                   1,               0.995,             0.88602,            0.004951,           0.0016362,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.014842,           0.0042356,                   0,              0.9999,                   1,               0.995,             0.89736,           0.0047971,           0.0015439,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.014298,           0.0041466,                   0,             0.99991,                   1,               0.995,             0.89708,           0.0048864,           0.0015426,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.014666,            0.004409,                   0,             0.99992,                   1,               0.995,             0.89492,           0.0049946,           0.0015393,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.013866,           0.0041708,                   0,             0.99992,                   1,               0.995,             0.90539,           0.0048204,           0.0015618,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.014462,           0.0044342,                   0,             0.99992,                   1,               0.995,             0.90122,           0.0047287,           0.0015638,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.014853,           0.0042006,                   0,             0.99992,                   1,               0.995,             0.89707,           0.0047783,           0.0015648,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.013514,           0.0041855,                   0,             0.99992,                   1,               0.995,             0.90814,           0.0045352,           0.0015483,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.014095,           0.0043301,                   0,             0.99992,                   1,               0.995,             0.91012,            0.004494,           0.0014894,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.013941,           0.0041244,                   0,             0.99992,                   1,               0.995,             0.91278,           0.0045762,           0.0014673,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.013749,           0.0043136,                   0,             0.99992,                   1,               0.995,             0.90223,           0.0049342,           0.0015319,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.013773,           0.0042074,                   0,             0.99991,                   1,               0.995,             0.89905,           0.0048419,            0.001537,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.013557,           0.0041826,                   0,             0.99991,                   1,               0.995,             0.91474,           0.0044138,           0.0014725,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.013772,           0.0042396,                   0,             0.99992,                   1,               0.995,             0.90066,           0.0047897,           0.0015182,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.013776,           0.0041489,                   0,             0.99992,                   1,               0.995,             0.91126,           0.0043981,           0.0014316,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.013827,              0.0041,                   0,             0.99992,                   1,               0.995,              0.9097,           0.0046535,           0.0014822,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013801,           0.0041986,                   0,             0.99992,                   1,               0.995,             0.91025,           0.0046126,            0.001496,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013235,           0.0041981,                   0,             0.99992,                   1,               0.995,             0.91034,           0.0044855,           0.0014864,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013082,           0.0041135,                   0,             0.99992,                   1,               0.995,             0.91151,           0.0044672,           0.0014885,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013361,           0.0040288,                   0,             0.99992,                   1,               0.995,              0.9126,            0.004436,           0.0014589,                   0,            0.000496,            0.000496,            0.000496
                  98,              0.0132,           0.0040353,                   0,             0.99992,                   1,               0.995,             0.90983,           0.0043948,           0.0014633,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.013264,           0.0042343,                   0,             0.99993,                   1,               0.995,             0.91645,           0.0042796,           0.0014414,                   0,            0.000298,            0.000298,            0.000298
